,start,end,instance
0,2020-07-22 11:12:06.706132+00:00,2020-07-25 09:40:24.182329+00:00,c4.4xlarge
1,2020-07-22 11:12:25.493696+00:00,2020-07-25 09:40:45.603854+00:00,g3.8xlarge
2,2020-07-22 11:12:40.793363+00:00,2020-07-25 09:41:01.587467+00:00,m4.16xlarge
3,2020-07-22 11:13:11.935573+00:00,2020-07-25 09:41:21.084463+00:00,m5.8xlarge
4,2020-07-22 11:13:43.712782+00:00,2020-07-25 09:41:44.033766+00:00,r5dn.xlarge
5,2020-07-22 11:14:03.691513+00:00,2020-07-25 09:42:00.255603+00:00,r3.8xlarge
6,2020-07-22 11:14:28.581995+00:00,2020-07-25 09:42:18.623876+00:00,r5.2xlarge
7,2020-07-22 11:15:35.544408+00:00,2020-07-25 09:42:40.729195+00:00,r5d.metal
8,2020-07-22 11:16:19.732850+00:00,2020-07-25 09:43:03.730875+00:00,t2.small
9,2020-07-22 11:16:53.757482+00:00,2020-07-25 09:43:20.575943+00:00,r4.xlarge
10,2020-07-22 11:23:58.802999+00:00,2020-07-25 09:43:38.976696+00:00,m5.12xlarge
11,2020-07-22 11:32:26.599505+00:00,2020-07-25 09:43:58.653289+00:00,m5ad.large
12,2020-07-22 11:36:20.617174+00:00,2020-07-25 09:44:17.031368+00:00,m5dn.2xlarge
13,2020-07-22 11:38:55.454180+00:00,2020-07-25 09:44:33.944774+00:00,c5n.2xlarge
14,2020-07-22 11:45:11.748161+00:00,2020-07-25 09:44:53.719196+00:00,c1.xlarge
15,2020-07-22 11:47:26.644748+00:00,2020-07-25 09:45:11.665889+00:00,r5dn.2xlarge
16,2020-07-22 11:49:32.518468+00:00,2020-07-25 09:45:28.925282+00:00,i3.2xlarge
17,2020-07-22 12:00:38.323671+00:00,2020-07-25 09:45:49.040787+00:00,c4.8xlarge
18,2020-07-22 12:06:39.765377+00:00,2020-07-25 09:46:07.360434+00:00,m5.24xlarge
19,2020-07-22 12:14:44.959334+00:00,2020-07-25 09:46:26.795940+00:00,m5n.2xlarge
20,2020-07-22 12:19:17.240555+00:00,2020-07-25 09:46:44.751133+00:00,m5a.8xlarge
21,2020-07-22 12:27:02.900089+00:00,2020-07-25 09:47:04.086389+00:00,r5a.2xlarge
22,2020-07-22 12:36:55.257648+00:00,2020-07-25 09:47:24.458122+00:00,r4.2xlarge
23,2020-07-22 12:46:44.244289+00:00,2020-07-25 09:47:44.884685+00:00,r5d.2xlarge
24,2020-07-22 12:58:50.345770+00:00,2020-07-25 09:48:09.209126+00:00,m5a.12xlarge
25,2020-07-22 13:04:09.976055+00:00,2020-07-25 09:48:27.935285+00:00,m5.xlarge
26,2020-07-22 13:17:01.109765+00:00,2020-07-25 09:48:48.500945+00:00,r5n.2xlarge
27,2020-07-22 13:19:56.206087+00:00,2020-07-25 09:49:06.415558+00:00,m5d.16xlarge
28,2020-07-22 13:26:24.449079+00:00,2020-07-25 09:49:27.411838+00:00,i3en.24xlarge
29,2020-07-22 13:29:47.899996+00:00,2020-07-25 09:49:44.716765+00:00,c5.2xlarge
30,2020-07-22 14:57:09.233474+00:00,2020-07-25 09:50:07.974219+00:00,c5n.xlarge
31,2020-05-01 00:00:00+00:00,2020-07-25 12:37:51.260935+00:00,t3.micro
32,2020-07-22 15:04:03.916367+00:00,2020-07-25 12:45:51.747671+00:00,m5n.4xlarge
33,2020-07-22 15:08:02.775674+00:00,2020-07-25 12:46:09.959297+00:00,t3a.medium
34,2020-07-22 15:11:22.328151+00:00,2020-07-25 12:46:26.489415+00:00,x1e.32xlarge
35,2020-07-22 15:13:09.038234+00:00,2020-07-25 12:46:41.089820+00:00,c5n.large
36,2020-07-22 15:15:53.679603+00:00,2020-07-25 12:46:57.720852+00:00,g4dn.16xlarge
37,2020-07-22 15:19:06.343223+00:00,2020-07-25 12:47:16.674200+00:00,g4dn.8xlarge
38,2020-07-22 15:23:09.309717+00:00,2020-07-25 12:47:40.081655+00:00,c5d.xlarge
39,2020-07-22 15:32:38.045943+00:00,2020-07-25 12:48:02.275770+00:00,i3.8xlarge
40,2020-07-22 15:38:56.402838+00:00,2020-07-25 12:48:20.669636+00:00,r5n.4xlarge
41,2020-07-22 15:41:16.791237+00:00,2020-07-25 12:48:35.486678+00:00,m5d.2xlarge
42,2020-07-22 15:55:29.243079+00:00,2020-07-25 12:49:29.986840+00:00,m5n.xlarge
43,2020-07-22 15:58:51.492656+00:00,2020-07-25 12:50:27.566269+00:00,r4.8xlarge
44,2020-07-22 16:08:20.784725+00:00,2020-07-25 12:50:59.216347+00:00,z1d.3xlarge
45,2020-07-22 16:12:28.226845+00:00,2020-07-25 12:51:14.615843+00:00,m4.xlarge
46,2020-07-22 16:20:40.591897+00:00,2020-07-25 12:51:33.678148+00:00,c5d.9xlarge
47,2020-07-22 16:37:04.510301+00:00,2020-07-25 12:51:55.727766+00:00,t3.nano
48,2020-07-22 16:41:50.616779+00:00,2020-07-25 12:52:15.639906+00:00,c4.2xlarge
49,2020-07-22 16:55:18.095733+00:00,2020-07-25 12:52:36.526736+00:00,z1d.xlarge
50,2020-05-01 00:00:00+00:00,2020-07-25 12:52:52.609180+00:00,r3.4xlarge
51,2020-05-01 00:00:00+00:00,2020-07-25 12:57:50.923199+00:00,r5.8xlarge
52,2020-05-01 00:00:00+00:00,2020-07-25 13:12:41.354198+00:00,c5.xlarge
