p3.8xlarge,Red Hat Enterprise Linux,2
m4.4xlarge,Windows,2
f1.2xlarge,SUSE Linux,4
t3a.large,Red Hat Enterprise Linux,2
f1.4xlarge,Linux/UNIX,4
m4.large,Linux/UNIX,4
r5.xlarge,Windows,2
t2.medium,SUSE Linux,4
f1.2xlarge,Red Hat Enterprise Linux,4
g2.2xlarge,Linux/UNIX,2
t3a.large,Linux/UNIX,2
f1.4xlarge,SUSE Linux,4
f1.4xlarge,Red Hat Enterprise Linux,4
f1.2xlarge,Linux/UNIX,4
t2.medium,Red Hat Enterprise Linux,4
m4.large,Red Hat Enterprise Linux,4
d2.xlarge,Windows,3
f1.16xlarge,SUSE Linux,4
f1.16xlarge,Red Hat Enterprise Linux,4
g2.8xlarge,Red Hat Enterprise Linux,2
g2.8xlarge,SUSE Linux,3
m4.4xlarge,SUSE Linux,2
t2.medium,Windows,3
g2.8xlarge,Linux/UNIX,3
g2.8xlarge,Windows,2
g2.2xlarge,Red Hat Enterprise Linux,2
g2.2xlarge,SUSE Linux,2
g2.2xlarge,Windows,2
r5.12xlarge,SUSE Linux,4
m4.large,Windows,3
d2.8xlarge,SUSE Linux,3
t2.medium,Linux/UNIX,4
d2.8xlarge,Red Hat Enterprise Linux,3
r4.8xlarge,Red Hat Enterprise Linux,5
d2.8xlarge,Windows,3
m4.large,SUSE Linux,4
r5.8xlarge,Windows,1
r5.12xlarge,Windows,3
d2.8xlarge,Linux/UNIX,3
d2.xlarge,Red Hat Enterprise Linux,3
d2.xlarge,SUSE Linux,3
d2.xlarge,Linux/UNIX,3
m4.16xlarge,SUSE Linux,2
t2.small,Linux/UNIX,2
r5.12xlarge,Red Hat Enterprise Linux,3
m4.16xlarge,Red Hat Enterprise Linux,4
g3s.xlarge,Windows,2
r5.large,Red Hat Enterprise Linux,3
t2.small,Red Hat Enterprise Linux,4
m4.16xlarge,Linux/UNIX,2
g4dn.12xlarge,Linux/UNIX,1
r4.8xlarge,SUSE Linux,3
t2.micro,Windows,3
m4.16xlarge,Windows,2
m4.2xlarge,Linux/UNIX,4
g3.8xlarge,Windows,2
t3a.2xlarge,Linux/UNIX,2
r5.large,Linux/UNIX,4
t3.xlarge,Windows,3
m4.10xlarge,Windows,2
r5.large,Windows,3
t2.small,Windows,2
m4.10xlarge,Linux/UNIX,2
g4dn.16xlarge,Linux/UNIX,1
t3.xlarge,Red Hat Enterprise Linux,4
t2.small,SUSE Linux,2
m4.10xlarge,Red Hat Enterprise Linux,4
g4dn.12xlarge,Windows,1
r5.12xlarge,Linux/UNIX,4
g4dn.16xlarge,Red Hat Enterprise Linux,1
m3.xlarge,SUSE Linux,3
t2.xlarge,Linux/UNIX,2
m3.xlarge,Windows,2
t3.xlarge,SUSE Linux,3
g4dn.12xlarge,Red Hat Enterprise Linux,1
m4.10xlarge,SUSE Linux,2
g3.16xlarge,Windows,3
