Instance, Product/Description, Days, MigrationBidPrice, MigrationsMin, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
m5n.8xlarge, Linux/UNIX, 202, 1, 1, 1721.796599999994, 1684.0328999999942, 1, 0, 37.763699999999744
Instance, Product/Description, Days, MigrationBidPrice, MigrationsMin, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
m5n.8xlarge, Linux/UNIX, 202, 114, 1, 6652.028600000012, 1684.0328999999942, 114, 0, 4967.995700000018
Instance, Product/Description, Days, MigrationBidPrice, MigrationsMin, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
m5n.8xlarge, Linux/UNIX, 202, 114, 1, 6652.028600000012, 1684.0328999999942, 114, 0, 4967.995700000018
Instance, Product/Description, Days, MigrationBidPrice, MigrationsMin, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
x1.32xlarge, Windows, 406, 0, 1, 96362.3136000002, 96362.3136000002, 0, 0, 0.0
Instance, Product/Description, Days, MigrationBidPrice, MigrationsMin, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
m5ad.xlarge, Linux/UNIX, 400, 1, 13, 501.89470000000244, 386.6746000000024, 1, 0, 115.22010000000006
Instance, Product/Description, Days, MigrationBidPrice, MigrationsMin, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
m5ad.xlarge, Linux/UNIX, 400, 1, 13, 501.89470000000244, 386.6746000000024, 1, 0, 115.22010000000006
Instance, Product/Description, Days, MigrationBidPrice, MigrationsMin, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
m5ad.xlarge, Linux/UNIX, 400, 1, 13, 501.89470000000244, 386.6746000000024, 1, 0, 115.22010000000006
Instance, Product/Description, Days, MigrationBidPrice, MigrationsMin, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
r3.8xlarge, Windows, 321, 0, 2, 10454.32799999999, 8414.51519999999, 0, 0, 2039.8127999999997
Instance, Product/Description, Days, MigrationBidPrice, MigrationsMin, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
p3.16xlarge, Red Hat Enterprise Linux, 324, 1, 6, 67797.92259999948, 58253.06879999954, 1, 0, 9544.853799999939
