,start,end,instance
0,2020-06-21 19:23:42.008841+00:00,2020-06-22 10:05:07.630463+00:00,r5.4xlarge
1,2020-06-21 18:44:18.910283+00:00,2020-06-22 10:05:25.856332+00:00,m4.4xlarge
2,2020-06-21 18:49:06.914868+00:00,2020-06-22 10:05:41.135687+00:00,i3.16xlarge
3,2020-06-21 18:51:55.183721+00:00,2020-06-22 10:05:54.647868+00:00,r5n.12xlarge
4,2020-06-21 19:52:28.066952+00:00,2020-06-22 10:06:07.892610+00:00,c4.4xlarge
5,2020-06-21 19:56:15.659923+00:00,2020-06-22 10:06:21.693289+00:00,g3.8xlarge
6,2020-06-21 19:57:26.969330+00:00,2020-06-22 10:06:37.159778+00:00,m4.16xlarge
7,2020-06-21 20:00:45.799338+00:00,2020-06-22 10:06:50.592905+00:00,m5.8xlarge
8,2020-06-21 20:04:34.123300+00:00,2020-06-22 10:07:04.437064+00:00,r5dn.xlarge
9,2020-06-21 20:05:45.340782+00:00,2020-06-22 10:07:18.275886+00:00,r3.8xlarge
10,2020-06-21 20:08:06.938661+00:00,2020-06-22 10:07:31.663047+00:00,r5.2xlarge
11,2020-06-21 20:14:35.355622+00:00,2020-06-22 10:07:53.766818+00:00,r5d.metal
12,2020-06-21 20:18:36.773613+00:00,2020-06-22 10:08:13.376376+00:00,t2.small
13,2020-06-21 20:20:16.917950+00:00,2020-06-22 10:08:28.633758+00:00,r4.xlarge
14,2020-06-21 20:23:54.690839+00:00,2020-06-22 10:08:42.594776+00:00,m5.12xlarge
15,2020-06-21 20:27:43.277615+00:00,2020-06-22 10:10:01.302507+00:00,m5ad.large
16,2020-06-21 20:29:50.212350+00:00,2020-06-22 10:10:32.679782+00:00,m5dn.2xlarge
17,2020-06-21 20:31:22.508860+00:00,2020-06-22 10:10:47.274972+00:00,c5n.2xlarge
18,2020-06-21 20:34:34.986642+00:00,2020-06-22 10:12:03.385025+00:00,c1.xlarge
19,2020-06-21 20:35:54.289485+00:00,2020-06-22 10:13:21.396164+00:00,r5dn.2xlarge
20,2020-06-21 20:37:08.081015+00:00,2020-06-22 10:13:38.544043+00:00,i3.2xlarge
21,2020-06-21 20:42:07.664471+00:00,2020-06-22 10:13:53.488909+00:00,c4.8xlarge
22,2020-06-21 20:45:10.612806+00:00,2020-06-22 10:14:06.401297+00:00,m5.24xlarge
23,2020-06-21 20:48:57.569755+00:00,2020-06-22 10:14:19.902340+00:00,m5n.2xlarge
24,2020-06-21 20:50:56.989449+00:00,2020-06-22 10:14:32.583830+00:00,m5a.8xlarge
25,2020-06-21 20:53:52.400836+00:00,2020-06-22 10:16:04.615261+00:00,r5a.2xlarge
26,2020-06-21 20:57:45.569504+00:00,2020-06-22 10:16:22.561578+00:00,r4.2xlarge
27,2020-06-21 21:01:55.997446+00:00,2020-06-22 10:17:38.279849+00:00,r5d.2xlarge
28,2020-06-21 21:06:58.560169+00:00,2020-06-22 10:17:55.539100+00:00,m5a.12xlarge
29,2020-06-21 21:09:39.246525+00:00,2020-06-22 10:18:09.209279+00:00,m5.xlarge
30,2020-06-21 21:16:33.121940+00:00,2020-06-22 10:18:23.443884+00:00,r5n.2xlarge
31,2020-06-21 21:18:20.537973+00:00,2020-06-22 10:18:36.585936+00:00,m5d.16xlarge
32,2020-06-21 21:21:18.359555+00:00,2020-06-22 10:18:50.570492+00:00,i3en.24xlarge
33,2020-06-21 21:23:28.749260+00:00,2020-06-22 10:19:07.514054+00:00,c5.2xlarge
34,2020-06-21 21:32:10.057060+00:00,2020-06-22 10:19:23.867952+00:00,c5n.xlarge
35,2020-06-21 21:35:01.063376+00:00,2020-06-22 10:19:37.058873+00:00,m5n.4xlarge
36,2020-06-21 21:37:03.690984+00:00,2020-06-22 10:19:49.964180+00:00,t3a.medium
37,2020-06-21 21:39:01.485378+00:00,2020-06-22 10:20:02.951389+00:00,x1e.32xlarge
38,2020-06-21 21:40:09.446504+00:00,2020-06-22 10:21:18.425776+00:00,c5n.large
39,2020-06-21 21:41:49.054014+00:00,2020-06-22 10:21:31.897105+00:00,g4dn.16xlarge
40,2020-05-01 00:00:00+00:00,2020-06-22 10:21:45.884454+00:00,g4dn.8xlarge
41,2020-05-01 00:00:00+00:00,2020-06-22 10:24:02.422157+00:00,c5d.xlarge
42,2020-05-01 00:00:00+00:00,2020-06-22 10:28:46.322516+00:00,i3.8xlarge
43,2020-05-01 00:00:00+00:00,2020-06-22 10:32:04.026014+00:00,r5n.4xlarge
44,2020-05-01 00:00:00+00:00,2020-06-22 10:34:28.770100+00:00,m5d.2xlarge
45,2020-05-01 00:00:00+00:00,2020-06-22 10:40:28.666969+00:00,m5n.xlarge
46,2020-05-01 00:00:00+00:00,2020-06-22 10:42:16.413421+00:00,r4.8xlarge
47,2020-05-01 00:00:00+00:00,2020-06-22 10:46:53.419584+00:00,z1d.3xlarge
48,2020-05-01 00:00:00+00:00,2020-06-22 10:50:37.955009+00:00,m4.xlarge
49,2020-05-01 00:00:00+00:00,2020-06-22 10:54:43.974406+00:00,c5d.9xlarge
50,2020-05-01 00:00:00+00:00,2020-06-22 11:00:53.983141+00:00,t3.nano
51,2020-05-01 00:00:00+00:00,2020-06-22 11:03:07.499028+00:00,c4.2xlarge
52,2020-05-01 00:00:00+00:00,2020-06-22 11:09:54.038286+00:00,z1d.xlarge
53,2020-05-01 00:00:00+00:00,2020-06-22 11:11:31.277049+00:00,r3.4xlarge
54,2020-05-01 00:00:00+00:00,2020-06-22 11:14:45.964484+00:00,r5.8xlarge
55,2020-05-01 00:00:00+00:00,2020-06-22 11:21:57.584539+00:00,c5.xlarge
56,2020-05-01 00:00:00+00:00,2020-06-22 11:28:39.152005+00:00,m5d.4xlarge
57,2020-05-01 00:00:00+00:00,2020-06-22 11:35:44.686925+00:00,d2.2xlarge
58,2020-05-01 00:00:00+00:00,2020-06-22 11:37:59.412175+00:00,m5.4xlarge
59,2020-05-01 00:00:00+00:00,2020-06-22 11:44:27.360498+00:00,r3.xlarge
60,2020-05-01 00:00:00+00:00,2020-06-22 11:46:17.307483+00:00,m5d.12xlarge
61,2020-05-01 00:00:00+00:00,2020-06-22 11:50:53.158714+00:00,m4.2xlarge
62,2020-05-01 00:00:00+00:00,2020-06-22 11:56:01.476580+00:00,g2.8xlarge
63,2020-05-01 00:00:00+00:00,2020-06-22 11:56:55.034050+00:00,i3en.6xlarge
64,2020-05-01 00:00:00+00:00,2020-06-22 11:59:17.897791+00:00,c5.12xlarge
65,2020-05-01 00:00:00+00:00,2020-06-22 12:03:10.450763+00:00,t3.small
66,2020-05-01 00:00:00+00:00,2020-06-22 12:05:39.237100+00:00,m5ad.12xlarge
67,2020-05-01 00:00:00+00:00,2020-06-22 12:08:31.026834+00:00,m5n.24xlarge
68,2020-05-01 00:00:00+00:00,2020-06-22 12:09:40.830609+00:00,m5d.large
69,2020-05-01 00:00:00+00:00,2020-06-22 12:12:34.186643+00:00,m5ad.2xlarge
70,2020-05-01 00:00:00+00:00,2020-06-22 12:16:37.661259+00:00,m5a.2xlarge
71,2020-05-01 00:00:00+00:00,2020-06-22 12:22:48.736012+00:00,g4dn.4xlarge
72,2020-05-01 00:00:00+00:00,2020-06-22 12:26:03.575832+00:00,t3a.small
73,2020-05-01 00:00:00+00:00,2020-06-22 12:28:00.114622+00:00,r5a.xlarge
74,2020-05-01 00:00:00+00:00,2020-06-22 12:32:56.745632+00:00,c5d.metal
75,2020-05-01 00:00:00+00:00,2020-06-22 12:35:29.894019+00:00,d2.4xlarge
